id,kind,glyph,unicode,name,svg_file,status,source_or_suggest,nerdfont,code_refs,i18n_refs,test_refs,files,defined_at,note
I018,svg,,,check,svg/check.svg,has_svg,bxs:check-shield,U+F058,4,0,0,ai/ai-hub-def.js:58; app.js:6852; gallery.js:530; wiki.js:216,src/icons.js:58,
I019,svg,,,chevron-down,svg/chevron-down.svg,has_svg,Boxicons,U+F078,0,0,0,,src/icons.js:61,ไม่พบที่เรียกด้วยชื่อนี้ในซอร์ส (อาจสร้างชื่อแบบไดนามิก)
I020,svg,,,chevron-right,svg/chevron-right.svg,has_svg,Boxicons,U+F054,1,0,0,app.js:3599,src/icons.js:21,
I021,svg,,,chevron-up,svg/chevron-up.svg,has_svg,bx:chevron-up,U+F077,0,0,0,,src/icons.js:63,ไม่พบที่เรียกด้วยชื่อนี้ในซอร์ส (อาจสร้างชื่อแบบไดนามิก)
I022,svg,,,clipboard,svg/clipboard.svg,has_svg,bxs:notepad,U+F0F6,7,0,0,ai/ai-hub-def.js:48; app.js:2199; panels/panel-ui.js:44; panels/panel-ui.js:97; toolbar/fab-config.js:37; renderer/index.html:122; renderer/index.html:170,src/icons.js:50,
I023,svg,,,cloud-lightning,svg/cloud-lightning.svg,has_svg,Boxicons,U+E7EF,2,0,0,dialogs.js:287; relationship-types.js:8,src/icons.js:69,
I024,svg,,,code-alt,svg/code-alt.svg,has_svg,Boxicons,U+F121,1,0,0,renderer/index.html:115,src/icons.js:19,
I025,svg,,,cog,svg/cog.svg,has_svg,Boxicons,U+F013,4,0,0,ai/ai-hub-def.js:66; ai-hub-ui.js:42; toolbar/fab-config.js:56; wiki.js:260,src/icons.js:52,
I026,svg,,,crosshair,svg/crosshair.svg,has_svg,Boxicons,U+F05B,1,0,0,app.js:13233,src/icons.js:79,
I027,svg,,,dock-right,svg/dock-right.svg,has_svg,Boxicons,U+F0DB,1,0,0,renderer/index.html:127,src/icons.js:33,
I028,svg,,,edit,svg/edit.svg,has_svg,Boxicons,U+F304,8,0,0,ai/ai-hub-def.js:44; app.js:4737; app.js:4739; sensory-profile.js:10; toolbar/fab-config.js:41; wiki.js:114; wiki.js:580; renderer/index.html:131,src/icons.js:59,
I029,svg,,,error,svg/error.svg,has_svg,bxs:error,U+F071,1,0,0,wiki.js:556,src/icons.js:57,
I030,svg,,,expand,svg/expand.svg,has_svg,Boxicons,U+F065,1,0,0,renderer/index.html:130,src/icons.js:22,
I031,svg,,,extension,svg/extension.svg,has_svg,bxs:extension,U+F12E,4,0,0,app.js:7503; panels/panel-ui.js:127; renderer/index.html:153; renderer/index.html:171,src/icons.js:71,
I032,svg,,,eye,svg/eye.svg,has_svg,bx:show,U+F06E,2,0,0,toolbar/fab-config.js:51; renderer/index.html:117,src/icons.js:76,
